name,player_id,affiliate,level,pos,atBats,hits,doubles,triples,homeRuns,baseOnBalls,strikeOuts
Gage Workman,669398,Bowling Green Hot Rods,A+,3B,927.0,213.0,57.0,18.0,45.0,132.0,411.0
Eliezer Alfonzo,672613,Charleston RiverDogs,A,C,454.0,112.0,28.0,0.0,2.0,32.0,64.0
Max Anderson,801194,Charleston RiverDogs,A,2B,1008.0,298.0,62.0,4.0,38.0,72.0,174.0
Akil Baddoo,668731,Charleston RiverDogs,A,LF,816.0,228.0,42.0,12.0,32.0,140.0,234.0
Justice Bigbie,694425,Charleston RiverDogs,A,RF,806.0,228.0,32.0,0.0,26.0,94.0,138.0
Kerry Carpenter,681481,Charleston RiverDogs,A,RF,15.0,2.0,0.0,0.0,1.0,1.0,4.0
Trei Cruz,669360,Charleston RiverDogs,A,CF,904.0,252.0,66.0,8.0,26.0,204.0,242.0
Jack Dunn,686639,Charleston RiverDogs,A,3B,50.0,9.0,0.0,1.0,0.0,7.0,19.0
Ben Gamel,592325,Charleston RiverDogs,A,RF,520.0,145.0,41.0,3.0,28.0,98.0,167.0
David Hensley,682073,Charleston RiverDogs,A,OF,47.0,4.0,1.0,0.0,1.0,9.0,26.0
Brewer Hicklen,676551,Charleston RiverDogs,A,RF,1015.0,225.0,30.0,6.0,48.0,122.0,363.0
Andy Ibáñez,628451,Charleston RiverDogs,A,3B,139.0,36.0,9.0,1.0,2.0,18.0,30.0
Andrew Jenkins,687543,Charleston RiverDogs,A,1B,708.0,186.0,34.0,6.0,20.0,66.0,190.0
Jahmai Jones,663330,Charleston RiverDogs,A,CF,170.0,47.0,9.0,4.0,6.0,24.0,46.0
Jace Jung,690291,Charleston RiverDogs,A,3B,412.0,104.0,27.0,1.0,17.0,78.0,125.0
Ryan Kreidler,668952,Charleston RiverDogs,A,CF,996.0,237.0,81.0,12.0,15.0,174.0,327.0
Hao-Yu  Lee,701678,Charleston RiverDogs,A,2B,497.0,121.0,23.0,8.0,14.0,65.0,121.0
Bligh Madris,676632,Charleston RiverDogs,A,1B,420.0,100.0,20.0,2.0,16.0,58.0,114.0
